4mwf,C,H,L,AR3C(4mwf)
4web,E,H,L,2A12(4web)
6bkb,E,H,L,AR3A(6bkb)
6bkc,E,H,L,AR3B(6bkc)
6bkd,E,H,L,AR3D(6bkd)
6meh,C,H,L,HEPC74(6meh)
6mei,C,H,L,HEPC3(6mei)
6mej,C,H,L,HEPC3(6mej)
6mej,C,A,B,HEPC46(6mej)
6mek,C,H,L,HEPC3(6mek)
6mek,C,F,E,HEPC46(6mek)
6urh,C,H,L,AR3X(6urh)
6uyd,E,H,L,AR3C(6uyd)
6uyf,E,H,L,AR3B(6uyf)
6uyg,E,H,L,AR3A(6uyg)
6uyg,E,A,B,E1(6uyg)
6uym,E,H,L,AR3C(6uym)
6wo3,E,H,L,U1(6wo3)
6wo4,E,H,L,HC11(6wo4)
6wo5,E,H,L,212.1.1(6wo5)
6wo5,E,A,B,E1(6wo5)
6woq,E,A,B,E1(6woq)
6woq,E,J,K,HC1AM(6woq)
7jtf,E,A,B,RM2-01(7jtf)
7jtg,E,A,B,RM11-43(7jtg)
7mww,E,H,L,2A12(7mww)
7mwx,C,A,B,2A12(7mwx)
7rfb,D,H,L,mAb1198(7rfb)
7rfc,D,H,L,mAb1382(7rfc)
7t6x,U,H,L,AR4A(7t6x)
7t6x,U,C,D,AT12009(7t6x)
8fsj,E,H,L,HEPC74(8fsj)
8fsj,E,C,B,AR4A(8fsj)
8tgv,A,E,F,HC84.26(8tgv)
8thz,A,E,F,HC84.26(8thz)
8thz,A,H,L,CBH_7(8thz)
8w0v,C,H,L,hcab55(8w0v)
8w0w,C,H,L,hcab64(8w0w)
8w0x,C,H,L,hcab40(8w0x)
8w0y,C,H,L,hcab17(8w0y)
8txq,C,A,B,CBH-4B(8txq)
HEPC108,A,H,L,HEPC108
